lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper
io,6,0.232408660672241,0.211106864405351,0.477020252224456,4.2309036789873e-43,1.0727840946098e-35,1.46187615614733e-193,0.200424992671865,0.178827019986723,0.263897469082371,0.242932721992251
io,7,0.299900036001479,0.204273778530927,0.419639661992179,3.01297842149869e-76,1.85046776111215e-35,1.16391049677814e-154,0.269984907470954,0.172872542247744,0.329236750461084,0.235260183382033
is,3,0.104310865209215,0.268684164450667,0.462433514852375,0.00684326215982215,1.46803155242131e-12,7.39944738987452e-37,0.0288503897041381,0.197002194933329,0.178589137265831,0.337508759472087
is,4,0.198524089607393,0.298336711021134,0.540503287855054,5.07737105251362e-17,2.51244285177482e-37,2.10873189120704e-133,0.15310333122959,0.255056659578384,0.24310782610229,0.340423718583052
is,5,0.247449484654354,0.310258918928139,0.528410424056549,1.53074783071431e-42,4.5838744454853e-67,1.3659939933268e-212,0.213323739778152,0.277331365940174,0.280972144520339,0.342458489991329
is,6,0.180103564586098,0.236958693044836,0.503628954133903,1.53475791141827e-24,9.62632528885124e-42,1.01497331984735e-203,0.146222852830469,0.203842367987746,0.21356225477593,0.269533364572462
is,7,0.204424480872559,0.229119640457133,0.382129450783193,1.68935917660963e-26,4.91139691217461e-33,2.91155303634941e-93,0.167729294955016,0.192800115510537,0.240553983962665,0.264812220641147
it,3,0.16856387534005,0.275502755429256,0.348494220987169,7.55476476096471e-05,5.75375608228962e-11,4.9078627601797e-17,0.0858660967339572,0.196124456370803,0.248954831366669,0.351293837092501
it,4,0.210035898837365,0.255175934189538,0.616740356543424,8.33375682929166e-15,2.47811596402682e-21,4.93648100825394e-141,0.15822597736465,0.204379937084749,0.260692455973749,0.304601391682007
it,5,0.307000512118469,0.310405795939663,0.6484197991888,4.95972742252505e-50,3.65476275826854e-51,4.68488117472928e-267,0.268979171807742,0.272467288244337,0.344066500399498,0.347380593430537
it,6,0.242517559269342,0.252209789501562,0.470525051470493,1.16988712932103e-36,1.33158663486463e-39,1.29394416865633e-145,0.206284000012686,0.216147371672408,0.27808693917272,0.287584998206703
it,7,0.253003641837529,0.200593200259979,0.416869932216952,6.34256760929018e-47,8.78566051458505e-30,6.75039002351634e-132,0.21992299730366,0.166735056482775,0.285503072900565,0.233978840204482
ja,3,0.144144272169738,0.361000949327842,0.575747429715822,4.50500063484087e-20,9.0404162236655e-124,0,0.113706402123672,0.333784660073383,0.17431180854816,0.387615879409114
ja,4,0.101791896661846,0.302528045289285,0.3801840758259,3.99365796892856e-10,2.21830024596391e-80,1.60320458048822e-129,0.070046014847047,0.273196815953489,0.13333180350073,0.331297269569808
ja,5,0.101787764140676,0.248856897872623,0.388651436589447,7.43502992374597e-08,1.54435274697407e-40,5.44032943226771e-101,0.0648707477609606,0.21367054721024,0.138426542650922,0.283398397015564
ja,6,0.0954026487003937,0.208278856178385,0.457701082812665,2.64072601821828e-05,2.1364649339599e-20,9.45852649359708e-101,0.0510470027087794,0.165240156163562,0.139382660103122,0.250525802266559
ja,7,0.132843915603639,0.219452327178909,0.441549808710509,2.58133622177728e-06,4.95691487547141e-15,1.65552796548923e-60,0.0778391616113883,0.165896300469286,0.187042379150708,0.271717646245549
jv,3,0.198475281677887,0.189804825001543,0.674396783366737,8.41678267294437e-09,3.72358439487207e-08,6.42266925782886e-111,0.132130532465393,0.123267407067896,0.263049687964679,0.254643331223879
jv,4,0.239199043397106,0.241523260053636,0.645308584849616,5.1718183682977e-28,1.52472045524669e-28,2.44782188338827e-241,0.197915284489861,0.200284229825521,0.279635707786031,0.281907976693125
jv,5,0.178169095350687,0.18622397014416,0.564073211669417,1.80103814927114e-25,1.03035770915775e-27,7.44416452486182e-283,0.145303000738773,0.153448543613014,0.210642412079754,0.218590104750665
jv,6,0.210468200791249,0.232575903789898,0.521561692075062,8.58299603582868e-36,1.5450115379444e-43,1.1159647123566e-239,0.178326607786336,0.200740049071184,0.242161127734163,0.263921040172297
jv,7,0.211663021351237,0.211244298688959,0.401676813211373,2.76574729124108e-33,3.71173161665235e-33,1.19589470769018e-122,0.178082141639855,0.177657687952759,0.244751465230872,0.244339356750956
ka,3,0.153615705715432,0.240505241643725,0.470749699517454,0.000589443846698883,5.69647476584549e-08,8.92445282779183e-29,0.0665599353954141,0.155846893139281,0.238350367112164,0.321656118525036
ka,4,0.07674214797996,0.178995061662777,0.557049379550777,0.0105722239771177,1.94122905934412e-09,2.13818564864718e-91,0.0179567807382922,0.1214078251926,0.13499877325537,0.235381380368536
ka,5,0.0534788226427247,0.159344733428914,0.505556449494752,0.0214310818027464,5.45780472022859e-12,1.31823802166294e-120,0.00792449802816552,0.114603335200742,0.0988116348983027,0.203440999710039
ka,6,0.0819770927836617,0.188447613682367,0.352724804776029,5.23317436451978e-05,7.4708349061442e-21,4.36320345134867e-72,0.0423435034914899,0.149798691105496,0.121353082106433,0.226521508600869
ka,7,0.0995705864523849,0.161322716204363,0.318744262810093,5.12968704047748e-08,7.93649845137583e-19,2.3887748055875e-71,0.0638926114407966,0.126147019921481,0.134994356951258,0.196093247646243
kk,3,0.190637074606054,0.303933775081478,0.615611297711982,8.25383223251606e-08,4.12110639104599e-18,1.94373321637234e-82,0.122028404509891,0.238788977849279,0.257432565214107,0.366355144353079
kk,4,0.205728395295384,0.263226357450647,0.555250272753969,6.13381316124431e-14,4.00715369083865e-22,2.01563101698756e-106,0.153173893923559,0.211989892271649,0.257122441310443,0.313019728050203
